,Problem.,Description,Etiqueta,Fecha,Month,Year,Locacion,CON_TRAMPA,BTN_VIVO,BTN_PERF,BTN_SECO,NUM_INFLOR,NUM_FLOR,NUM_RFV,NUM_FV,NUM_RFM,NUM_FM,NUM_RAC_SECO,COD_VIEJO,Notas,X,month_year,cat DELETE,count DELETE
1,,,12,14-May-08,MAY,2008,SH900 100ME.W,NO,0,0,0,0,0,0,0,0,0,0,738,,,8-May,1239582MAY2008SH900 100ME.WNO000000000073843593,1
2,,,13,14-May-08,MAY,2008,SH900 104ME.W,NO,0,0,0,0,0,0,0,0,0,0,730,,,8-May,1339582MAY2008SH900 104ME.WNO000000000073043593,1
3,,,14,14-May-08,MAY,2008,SH900 120ME.W,NO,0,0,0,0,0,0,0,0,0,0,743,,,8-May,1439582MAY2008SH900 120ME.WNO000000000074343593,1
4,,,15,14-May-08,MAY,2008,SH900 120ME.W,NO,0,0,0,0,0,0,0,0,0,0,744,,,8-May,1539582MAY2008SH900 120ME.WNO000000000074443593,1
5,,,16,14-May-08,MAY,2008,SH900 125ME.W,NO,1,0,0,0,0,0,0,0,0,0,745,,,8-May,1639582MAY2008SH900 125ME.WNO100000000074543593,1
6,,,17,14-May-08,MAY,2008,SH850 150ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,1739582MAY2008SH850 150ME.WNO0000000000043593,1
7,,,1,15-May-08,MAY,2008,SH900 5ME.E,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,139583MAY2008SH900 5ME.ENO00000000000Adulto43593,1
8,,,2,15-May-08,MAY,2008,SH900 22ME.E,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,239583MAY2008SH900 22ME.ENO0000000000043593,1
9,,,3,15-May-08,MAY,2008,SH900 25ME.E,NO,0,0,0,0,0,0,0,0,0,0,729,,,8-May,339583MAY2008SH900 25ME.ENO000000000072943593,1
10,,,4,15-May-08,MAY,2008,SH850 40ME.E,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,439583MAY2008SH850 40ME.ENO0000000000043593,1
11,,,5,15-May-08,MAY,2008,SH850 12ME.E,NO,0,0,0,0,0,0,0,0,0,0,723,,,8-May,539583MAY2008SH850 12ME.ENO000000000072343593,1
12,,,6,15-May-08,MAY,2008,SH850 15ME.E,NO,0,0,0,0,0,0,0,0,0,0,724,,,8-May,639583MAY2008SH850 15ME.ENO000000000072443593,1
13,,,7,15-May-08,MAY,2008,SH910 15ME.W,NO,0,0,0,0,0,0,0,0,0,0,734,,,8-May,739583MAY2008SH910 15ME.WNO000000000073443593,1
14,,,8,15-May-08,MAY,2008,SH910 15ME.W,NO,0,0,0,0,0,0,0,0,0,0,735,,,8-May,839583MAY2008SH910 15ME.WNO000000000073543593,1
15,,,9,15-May-08,MAY,2008,SH930 40ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,939583MAY2008SH930 40ME.WNO0000000000043593,1
16,,,10,15-May-08,MAY,2008,SH950 40ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,1039583MAY2008SH950 40ME.WNO0000000000043593,1
17,,,19,15-May-08,MAY,2008,SH850 50ME.W,NO,0,0,0,0,0,0,0,0,0,0,726,,,8-May,1939583MAY2008SH850 50ME.WNO000000000072643593,1
18,,,129,15-May-08,MAY,2008,SH900 50 W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,12939583MAY2008SH900 50 WNO00000000000Adulto43593,1
19,,,135,15-May-08,MAY,2008,SH 900 40 E,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,13539583MAY2008SH 900 40 ENO00000000000Adulto43593,1
20,,,137,15-May-08,MAY,2008,SH 900 55 E,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,13739583MAY2008SH 900 55 ENO00000000000Adulto43593,1
21,,,139,15-May-08,MAY,2008,SH 900 45 E,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,13939583MAY2008SH 900 45 ENO00000000000Adulto43593,1
22,,,140,15-May-08,MAY,2008,SH 900 30 E,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,14039583MAY2008SH 900 30 ENO00000000000Adulto43593,1
23,,,141,15-May-08,MAY,2008,SH 900 25 E,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,14139583MAY2008SH 900 25 ENO00000000000Adulto43593,1
24,,,142,15-May-08,MAY,2008,SH 900 27 E,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,14239583MAY2008SH 900 27 ENO00000000000Adulto43593,1
25,,,144,15-May-08,MAY,2008,SH 900 5 E,NO,0,0,0,0,0,1,e,0,0,0,732,Adulto,,8-May,14439583MAY2008SH 900 5 ENO000001e000732Adulto43593,1
26,,,146,15-May-08,MAY,2008,SH 900 50 W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,14639583MAY2008SH 900 50 WNO00000000000Adulto43593,1
27,,,147,15-May-08,MAY,2008,SH 900 50 W,NO,0,0,2,0,0,0,0,0,0,0,0,Adulto,,8-May,14739583MAY2008SH 900 50 WNO00200000000Adulto43593,1
28,,,148,15-May-08,MAY,2008,SH 900 50 W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,14839583MAY2008SH 900 50 WNO00000000000Adulto43593,1
29,,,18,16-May-08,MAY,2008,SH850 100ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,1839584MAY2008SH850 100ME.WNO0000000000043593,1
30,,,20,16-May-08,MAY,2008,SH830 25ME.E,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,2039584MAY2008SH830 25ME.ENO0000000000043593,1
31,,,21,16-May-08,MAY,2008,SH820 1ME.E,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,2139584MAY2008SH820 1ME.ENO0000000000043593,1
32,,,23,16-May-08,MAY,2008,SH830 30ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,2339584MAY2008SH830 30ME.WNO0000000000043593,1
33,,,24,16-May-08,MAY,2008,SH830 45ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,2439584MAY2008SH830 45ME.WNO0000000000043593,1
34,,,25,16-May-08,MAY,2008,SH820 45ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,2539584MAY2008SH820 45ME.WNO0000000000043593,1
35,,,26,16-May-08,MAY,2008,SH830 230ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,2639584MAY2008SH830 230ME.WNO0000000000043593,1
36,,,28,16-May-08,MAY,2008,SH820 210ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,2839584MAY2008SH820 210ME.WNO0000000000043593,1
37,,,29,16-May-08,MAY,2008,SH810 215ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,2939584MAY2008SH810 215ME.WNO0000000000043593,1
38,,,31,16-May-08,MAY,2008,SH800 190ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,3139584MAY2008SH800 190ME.WNO0000000000043593,1
39,,,32,16-May-08,MAY,2008,SH800 160ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,3239584MAY2008SH800 160ME.WNO0000000000043593,1
40,,,33,16-May-08,MAY,2008,SH800 140ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,3339584MAY2008SH800 140ME.WNO0000000000043593,1
41,,,34,16-May-08,MAY,2008,SH800 140ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,3439584MAY2008SH800 140ME.WNO0000000000043593,1
42,,,35,16-May-08,MAY,2008,SH800 130ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,3539584MAY2008SH800 130ME.WNO0000000000043593,1
43,,,36,16-May-08,MAY,2008,SH800 40ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,3639584MAY2008SH800 40ME.WNO0000000000043593,1
44,,,37,16-May-08,MAY,2008,SH800 35ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,3739584MAY2008SH800 35ME.WNO0000000000043593,1
45,,,38,16-May-08,MAY,2008,SH790 10ME.E,NO,1,0,0,0,0,0,0,0,0,0,715,,,8-May,3839584MAY2008SH790 10ME.ENO100000000071543593,1
46,,,39,16-May-08,MAY,2008,SH790 12ME.E,NO,0,0,0,0,0,0,0,0,0,0,716,,,8-May,3939584MAY2008SH790 12ME.ENO000000000071643593,1
47,,,40,16-May-08,MAY,2008,SH190 40ME.E,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,4039584MAY2008SH190 40ME.ENO0000000000043593,1
48,,,41,16-May-08,MAY,2008,SH190 45ME.E,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,4139584MAY2008SH190 45ME.ENO0000000000043593,1
49,,,42,16-May-08,MAY,2008,SH770 25ME.E,NO,0,0,0,0,0,0,0,0,0,0,713,,,8-May,4239584MAY2008SH770 25ME.ENO000000000071343593,1
50,,,43,16-May-08,MAY,2008,SH700 30ME.E,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,4339584MAY2008SH700 30ME.ENO0000000000043593,1
51,,,44,16-May-08,MAY,2008,SH880 30ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,4439584MAY2008SH880 30ME.WNO0000000000043593,1
52,,,65,16-May-08,MAY,2008,SH720 250M.E,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,6539584MAY2008SH720 250M.ENO00000000000Adulto43593,1
53,,,66,16-May-08,MAY,2008,SH710 250M.E,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,6639584MAY2008SH710 250M.ENO00000000000Adulto43593,1
54,,,67,16-May-08,MAY,2008,SH680 160M.E,NO,1,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,6739584MAY2008SH680 160M.ENO10000000000Adulto43593,1
55,,,68,16-May-08,MAY,2008,SH680 100M.E,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,6839584MAY2008SH680 100M.ENO00000000000Adulto43593,1
56,,,77,16-May-08,MAY,2008,SH640 10M.E,NO,0,0,0,0,0,0,0,0,0,0,695,Adulto,,8-May,7739584MAY2008SH640 10M.ENO0000000000695Adulto43593,1
57,,,78,16-May-08,MAY,2008,SH650 40M.E,NO,0,0,0,0,0,0,0,0,0,0,696,Adulto,,8-May,7839584MAY2008SH650 40M.ENO0000000000696Adulto43593,1
58,,,79,16-May-08,MAY,2008,SH630 40M.E,NO,0,0,0,0,0,0,0,0,0,0,692,Adulto,,8-May,7939584MAY2008SH630 40M.ENO0000000000692Adulto43593,1
59,,,100,16-May-08,MAY,2008,SH 740 140E,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,10039584MAY2008SH 740 140ENO00000000000Adulto43593,1
60,,,107,16-May-08,MAY,2008,SH 900 220W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,10739584MAY2008SH 900 220WNO00000000000Adulto43593,1
61,,,116,16-May-08,MAY,2008,SH 800 175E,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,11639584MAY2008SH 800 175ENO00000000000Adulto43593,1
62,,,117,16-May-08,MAY,2008,SH 800 200E,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,11739584MAY2008SH 800 200ENO00000000000Adulto43593,1
