Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.2974E-11,0.000000009,0.000000049,1,0,0
1.09769E-10,0.00000002,0.000000058,0.999900418,0,0
1.19481E-10,0.000000032,0.000000063,0.999800836,0,0
2.76764E-10,0.000000127,0.000000145,0.999402509,0,0
3.22988E-10,0.000000279,0.00000017,0.998904601,0,0
6.13226E-10,0.000001011,0.000000322,0.997410874,0,0
9.53108E-10,0.00000256,0.0000005,0.995518821,0,0
2.103E-9,0.000010085,0.000001104,0.990838478,0,0
3.43323E-9,0.000025335,0.000001802,0.985461064,0,0
4.75085E-9,0.000050217,0.000002494,0.979286995,0,0
6.61721E-9,0.000100483,0.000003474,0.970722964,0,0
1.10425E-8,0.000250287,0.000005797,0.953893647,0,0
1.57493E-8,0.000501473,0.000008269,0.935172276,0,0
2.24539E-8,0.001000424,0.000011789,0.90928102,0,0
4.07002E-8,0.002503966,0.000021368,0.859888468,0,0
7.45762E-8,0.005003563,0.000039153,0.814777933,0,0
1.54496E-7,0.010013185,0.00008111,0.768870743,0,0
3.6833E-7,0.025000943,0.000193361,0.707428799,0,0
6.76171E-7,0.050053161,0.000354937,0.658534157,0,0
1.17405E-6,0.100093829,0.000616205,0.602967536,0,0
2.15274E-6,0.200125605,0.001129585,0.541226847,0,0
2.97413E-6,0.300097657,0.001560244,0.502489544,0,0
3.68298E-6,0.400283934,0.001931753,0.472515435,0,0
4.22814E-6,0.500242609,0.002217378,0.447420833,0,0
4.84088E-6,0.600123336,0.00253831,0.425413264,0,0
5.34647E-6,0.700310146,0.002803043,0.40589524,0,0
5.57628E-6,0.750149859,0.002923352,0.3968333,0,0
5.83309E-6,0.800409642,0.00305778,0.388070106,0,0
6.43333E-6,0.900371015,0.003371901,0.371838279,0,0
7.00378E-6,1.000028792,0.003670341,0.357100179,0,0
7.53491E-6,1.10036575,0.003948133,0.343357897,0,0
7.96156E-6,1.200422638,0.004171221,0.33051185,0,0
8.45227E-6,1.30057304,0.004427744,0.318362876,0,0
9.02575E-6,1.400227668,0.004727448,0.307010556,0,0
9.57758E-6,1.500694889,0.005015758,0.296255726,0,0
1.11843E-5,1.750566804,0.005854726,0.272156941,0,0
1.35964E-5,2.001087351,0.00711289,0.251842262,0,0
1.6512E-5,2.250267681,0.008631585,0.235311691,0,0
1.96716E-5,2.500141013,0.010274762,0.221569408,0,0
2.29223E-5,2.750713799,0.011962439,0.209918343,0,0
2.63436E-5,3.000340531,0.013735585,0.199860586,0,0
2.93141E-5,3.251170012,0.015272557,0.190898227,0.023809524,0
3.22544E-5,3.500229327,0.016791472,0.182832105,0.023809524,0
3.54361E-5,3.75057451,0.018432504,0.175463055,0.023809524,0
3.87361E-5,4.002253078,0.020131637,0.168691496,0.023809524,0
4.21609E-5,4.253401667,0.021891943,0.162517427,0.023809524,0
4.62678E-5,4.503856558,0.023998669,0.156841267,0.047619048,0
4.98049E-5,4.754160145,0.025809438,0.151663015,0.071428571,0
5.35795E-5,5.002170014,0.027738112,0.146883091,0.071428571,0
5.71332E-5,5.250964128,0.029550399,0.142401912,0.071428571,0.076923077
5.98578E-5,5.501881227,0.030937587,0.138119896,0.071428571,0.076923077
6.27955E-5,5.753597468,0.032431082,0.134037044,0.071428571,0.076923077
6.61771E-5,6.005090355,0.034147349,0.130153356,0.071428571,0.076923077
6.85599E-5,6.254715905,0.035354914,0.126468831,0.071428571,0.076923077
7.16164E-5,6.50020554,0.036901652,0.122983469,0.071428571,0.076923077
7.4537E-5,6.756089724,0.038377257,0.119498108,0.071428571,0.076923077
7.88013E-5,7.001148956,0.040527792,0.116311492,0.071428571,0.076923077
8.21814E-5,7.257532785,0.042228947,0.113124876,0.071428571,0.076923077
8.48877E-5,7.508004784,0.043588857,0.110137423,0.071428571,0.076923077
8.82321E-5,7.758660213,0.045266692,0.107249552,0.071428571,0.076923077
9.06203E-5,8.009001377,0.046462999,0.104461263,0.071428571,0.076923077
9.48883E-5,8.251466205,0.048597301,0.101872137,0.071428571,0.076923077
9.80926E-5,8.502428536,0.050196478,0.099283011,0.071428571,0.076923077
1.00383E-4,8.75056187,0.051337762,0.096793467,0.071428571,0.076923077
1.03322E-4,9.005090504,0.052800381,0.094303924,0.071428571,0.076923077
1.06304E-4,9.256981524,0.05428234,0.091913961,0.071428571,0.076923077
1.11126E-4,9.50745452,0.056673505,0.089623581,0.071428571,0.076923077
1.1436E-4,9.756010196,0.058273762,0.087432782,0.071428571,0.076923077
1.1815E-4,10.000949224,0.060145825,0.085341565,0.071428571,0.076923077
1.22787E-4,10.254929732,0.062431387,0.083250349,0.071428571,0.076923077
1.2694E-4,10.505910631,0.06447298,0.081258713,0.095238095,0.076923077
1.31022E-4,10.751380682,0.066476058,0.07936666,0.095238095,0.076923077
1.3598E-4,11.003632973,0.068902984,0.077474607,0.095238095,0.076923077
1.39514E-4,11.251232197,0.07062863,0.075682135,0.095238095,0.076923077
1.42797E-4,11.505606873,0.072229288,0.073889663,0.095238095,0.076923077
1.45704E-4,11.750694164,0.073644366,0.072196774,0.095238095,0.076923077
1.53208E-4,12.004325339,0.077286788,0.070503884,0.119047619,0.076923077
1.60774E-4,12.255870295,0.080944642,0.068910576,0.119047619,0.076923077
1.64674E-4,12.516114931,0.082824707,0.067317267,0.119047619,0.076923077
1.68938E-4,12.766030019,0.084875272,0.065823541,0.142857143,0.076923077
1.72423E-4,13.004699775,0.086548189,0.064429397,0.142857143,0.076923077
1.79474E-4,13.252876264,0.089923446,0.063035252,0.142857143,0.076923077
1.84213E-4,13.507276218,0.092185139,0.061641107,0.142857143,0.076923077
1.88615E-4,13.768377586,0.094280844,0.060246963,0.142857143,0.076923077
1.93083E-4,14.016129163,0.09640268,0.0589524,0.142857143,0.076923077
2.00815E-4,14.253182975,0.100063385,0.057757419,0.142857143,0.076923077
2.08995E-4,14.519843296,0.103920152,0.056462856,0.142857143,0.076923077
2.12524E-4,14.751542867,0.105578911,0.055367457,0.142857143,0.076923077
2.16485E-4,15.009302297,0.107436639,0.054172476,0.142857143,0.076923077
2.20534E-4,15.271797263,0.109332241,0.052977495,0.142857143,0.076923077
2.23819E-4,15.516781165,0.110867088,0.051882095,0.142857143,0.076923077
2.30222E-4,15.766641801,0.113851058,0.050786696,0.142857143,0.076923077
2.35543E-4,16.022499887,0.116323295,0.049691297,0.142857143,0.076923077
2.41455E-4,16.261778269,0.119061789,0.048695479,0.142857143,0.076923077
2.49344E-4,16.507543982,0.122702711,0.047699661,0.142857143,0.076923077
2.53454E-4,16.759013415,0.124593701,0.046703844,0.142857143,0.076923077
2.58065E-4,17.01496399,0.126710331,0.045708026,0.142857143,0.076923077
2.63955E-4,17.250345159,0.129406679,0.04481179,0.142857143,0.076923077
2.71755E-4,17.518398895,0.132964602,0.043815973,0.142857143,0.076923077
2.77589E-4,17.765967554,0.135616246,0.042919737,0.142857143,0.076923077
2.85462E-4,18.020077462,0.139181779,0.042023501,0.142857143,0.076923077
2.90028E-4,18.250105676,0.141242844,0.041226847,0.142857143,0.076923077
2.95701E-4,18.513867562,0.14379703,0.040330611,0.142857143,0.076923077
3.07135E-4,18.755425963,0.148921203,0.039533957,0.142857143,0.076923077
3.13125E-4,19.003390165,0.151593491,0.038737303,0.142857143,0.076923077
3.24943E-4,19.259948357,0.156841381,0.037940649,0.142857143,0.076923077
3.33168E-4,19.523622907,0.160474369,0.037143995,0.142857143,0.076923077
3.425E-4,19.760013903,0.164577634,0.036446923,0.142857143,0.076923077
3.5211E-4,20.005677625,0.168781886,0.035749851,0.142857143,0.076923077
3.74606E-4,20.259221571,0.178541402,0.035052778,0.142857143,0.076923077
3.85725E-4,20.524977065,0.183323138,0.034355706,0.142857143,0.076923077
3.95293E-4,20.760625671,0.187415129,0.033758215,0.142857143,0.076923077
3.99565E-4,21.039026538,0.189235588,0.033061143,0.142857143,0.076923077
4.11851E-4,21.283090286,0.19444874,0.032463653,0.142857143,0.076923077
4.20796E-4,21.532521135,0.198222942,0.031866162,0.142857143,0.076923077
4.2941E-4,21.787534711,0.201840754,0.031268672,0.142857143,0.076923077
4.3136E-4,22.002653163,0.202657353,0.030770763,0.142857143,0.076923077
4.36806E-4,22.264135182,0.204933941,0.030173272,0.142857143,0.076923077
4.51253E-4,22.531215069,0.210941636,0.029575782,0.142857143,0.076923077
4.63767E-4,22.760888873,0.216108574,0.029077873,0.142857143,0.076923077
4.777E-4,23.044075194,0.221822118,0.028480382,0.166666667,0.076923077
4.86931E-4,23.285871236,0.225584075,0.027982474,0.166666667,0.076923077
4.999E-4,23.533474029,0.230839208,0.027484565,0.166666667,0.153846154
5.13402E-4,23.787632256,0.236272363,0.026986656,0.166666667,0.153846154
5.36962E-4,24.049215037,0.245661009,0.026488747,0.166666667,0.153846154
5.40606E-4,24.265010146,0.247102883,0.02609042,0.166666667,0.153846154
5.45926E-4,24.536786792,0.249202758,0.025592511,0.166666667,0.153846154
5.51049E-4,24.756624979,0.251219438,0.025194184,0.166666667,0.153846154
5.70077E-4,25.038267541,0.258662407,0.024696276,0.166666667,0.153846154
5.7187E-4,25.266803243,0.259359866,0.024297949,0.166666667,0.153846154
5.83359E-4,25.556440949,0.263813983,0.02380004,0.19047619,0.153846154
5.87867E-4,25.790644831,0.265554529,0.023401713,0.19047619,0.153846154
6.11946E-4,26.03182162,0.274780712,0.023003386,0.19047619,0.153846154
