Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.08965E-10,0.000000011,0.000000057,1,0,0
1.31971E-10,0.000000037,0.000000068,0.999800836,0,0
2.87691E-10,0.000000111,0.000000149,0.999502091,0,0
3.23576E-10,0.000000265,0.000000168,0.999004182,0,0
5.82415E-10,0.000001038,0.000000302,0.997311293,0,0
9.82851E-10,0.000002513,0.00000051,0.995518821,0,0
1.92977E-9,0.00001013,0.000001001,0.990141406,0,0
3.09345E-9,0.000025048,0.000001604,0.984266082,0,0
4.41053E-9,0.000050146,0.000002287,0.977793268,0,0
6.43626E-9,0.000100184,0.000003338,0.968532165,0,0
1.04914E-8,0.000250507,0.000005441,0.950806612,0,0
1.47912E-8,0.000501248,0.000007671,0.93138817,0,0
2.15575E-8,0.001000816,0.00001118,0.904003187,0,0
3.97144E-8,0.002503704,0.000020597,0.853813981,0,0
7.39916E-8,0.005005339,0.000038373,0.807906791,0,0
1.52695E-7,0.010006445,0.000079189,0.762796256,0,0
3.79627E-7,0.025029623,0.000196866,0.702449711,0,0
6.98079E-7,0.050035013,0.000361979,0.655945031,0,0
1.20091E-6,0.100055579,0.000622632,0.602768373,0,0
2.16224E-6,0.200205599,0.001120773,0.542023501,0,0
2.87699E-6,0.300010911,0.001490977,0.502489544,0,0
3.48442E-6,0.400048055,0.001805493,0.471320454,0,0
4.04007E-6,0.500385878,0.002093106,0.444732125,0,0
4.53601E-6,0.600320025,0.002349745,0.421529576,0,0
5.04927E-6,0.700126297,0.002615274,0.40081657,0,0
5.35987E-6,0.750012762,0.002775927,0.391256722,0,0
5.67417E-6,0.800288704,0.002938463,0.382194782,0,0
6.25177E-6,0.900511564,0.0032371,0.365465047,0,0
6.86522E-6,1.000054411,0.003554176,0.35032862,0,0
7.45264E-6,1.100636171,0.003857697,0.336387174,0,0
8.05266E-6,1.200250087,0.004167639,0.323541127,0,0
8.66008E-6,1.300690818,0.0044813,0.311591316,0,0
9.33416E-6,1.400918796,0.004829271,0.300537741,0,0
1.00602E-5,1.500464402,0.005203928,0.290280821,0,0
1.16626E-5,1.750197201,0.006030288,0.267377017,0,0
1.39203E-5,2.000500267,0.007193492,0.247858992,0,0
1.67183E-5,2.250108481,0.008633134,0.231527584,0,0
2.02359E-5,2.500538762,0.010440071,0.217984465,0,0
2.3401E-5,2.750318167,0.012063087,0.206532563,0.023809524,0
2.65509E-5,3.002479703,0.013675682,0.196474806,0.023809524,0
2.96306E-5,3.252481901,0.015249847,0.187612029,0.023809524,0
3.27529E-5,3.502066909,0.016843167,0.179645489,0.047619048,0
3.59783E-5,3.750466241,0.018486411,0.172475602,0.047619048,0
3.97336E-5,4.002214938,0.020396151,0.165803625,0.047619048,0
4.29196E-5,4.251706096,0.02201345,0.159828719,0.047619048,0
4.66807E-5,4.502649041,0.023919249,0.154252141,0.071428571,0
5.01005E-5,4.754450534,0.025648939,0.14907389,0.071428571,0
5.35921E-5,5.002619049,0.027411728,0.144293965,0.071428571,0.076923077
