Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.89436E-12,0.000000001,0.000000004,0.999900547,0,0
8.91103E-12,0.000000003,0.000000005,0.999701641,0,0
2.09269E-11,0.00000001,0.000000011,0.999303829,0,0
2.84801E-11,0.000000026,0.000000015,0.998707111,0,0
7.18434E-11,0.000000103,0.000000037,0.997314769,0,0
9.67918E-11,0.000000253,0.00000005,0.995524615,0,0
2.66729E-10,0.000001025,0.000000139,0.991447041,0,0
4.72575E-10,0.000002535,0.000000246,0.987369468,0,0
8.99872E-10,0.000010036,0.000000468,0.976628543,0,0
1.43455E-9,0.000025108,0.000000747,0.963898558,0,0
2.04432E-9,0.000050029,0.000001064,0.949577325,0,0
3.17636E-9,0.00010026,0.000001654,0.9305818,0,0
5.80649E-9,0.000250492,0.000003023,0.897165589,0,0
9.45929E-9,0.000500413,0.000004925,0.863948284,0,0
1.80786E-8,0.001001072,0.000009412,0.826355047,0,0
4.37056E-8,0.002503539,0.000022753,0.775634013,0,0
8.29463E-8,0.005008263,0.000043181,0.735753357,0,0
1.52739E-7,0.010007925,0.000079513,0.692292392,0,0
3.48973E-7,0.025031032,0.00018166,0.627946295,0,0
7.12182E-7,0.050055279,0.000370696,0.578816509,0,0
1.48143E-6,0.100101847,0.000770939,0.532073595,0,0
2.47675E-6,0.200037126,0.001288574,0.48165092,0,0
3.22107E-6,0.300288845,0.001675496,0.446544008,0,0
4.01384E-6,0.400352736,0.002087439,0.418896072,0,0
4.72769E-6,0.500065391,0.002458229,0.396121333,0,0
5.44286E-6,0.600434867,0.002829566,0.37652909,0,0
6.12584E-6,0.700572739,0.003184058,0.35932372,0,0
6.45416E-6,0.750268616,0.003354425,0.351466932,0,0
6.78371E-6,0.800543884,0.003525397,0.343908503,0,0
7.32456E-6,0.900045023,0.003805933,0.329885629,0,0
8.11632E-6,1.00034755,0.004216475,0.316956738,0,0
8.7809E-6,1.100235514,0.004560941,0.305221283,0,0
9.49076E-6,1.200660063,0.00492874,0.294281452,0,0
1.03303E-5,1.300868033,0.005363562,0.284236698,0,0
1.09994E-5,1.400926049,0.005709985,0.274888115,0,0
1.1872E-5,1.500368293,0.00616157,0.266235704,0,0
1.42053E-5,1.750102084,0.007368067,0.247041273,0,0
1.64121E-5,2.000868793,0.008507783,0.230631527,0,0
1.9188E-5,2.250731801,0.0099396,0.216608652,0,0
2.20287E-5,2.501644314,0.011402733,0.204375932,0,0
2.57311E-5,2.750466814,0.013306398,0.193933366,0.036363636,0
2.86823E-5,3.00123075,0.014821192,0.18478369,0.036363636,0
3.21325E-5,3.251116256,0.016589162,0.176628543,0.036363636,0
3.62586E-5,3.500592778,0.018699312,0.169368473,0.036363636,0
3.90595E-5,3.752911872,0.020129163,0.162705122,0.036363636,0
4.23828E-5,4.001809999,0.021823025,0.156638488,0.036363636,0
4.55369E-5,4.251721183,0.02342791,0.150969667,0.036363636,0
4.82124E-5,4.500643909,0.024787195,0.145698657,0.036363636,0
5.21863E-5,4.750974179,0.026802661,0.140726007,0.036363636,0
5.56828E-5,5.004415509,0.028572538,0.136051716,0.036363636,0
5.97283E-5,5.252335619,0.030616337,0.131775236,0.054545455,0
6.31592E-5,5.504024762,0.032346257,0.127697663,0.054545455,0
6.64087E-5,5.750420352,0.033981842,0.123918449,0.054545455,0
6.95061E-5,6.001838338,0.035538288,0.120238687,0.054545455,0
7.33075E-5,6.25091776,0.037445081,0.116757832,0.054545455,0
7.68919E-5,6.506615645,0.039239588,0.11337643,0.054545455,0
8.1435E-5,6.752313238,0.041509259,0.110293386,0.054545455,0
8.51407E-5,7.001196298,0.043356616,0.107309796,0.054545455,0
8.98705E-5,7.254635089,0.045709325,0.104425659,0.072727273,0
9.32204E-5,7.501155075,0.047372134,0.101740428,0.072727273,0
9.75947E-5,7.758840951,0.049539064,0.099055196,0.072727273,0
1.01326E-4,8.007529586,0.051383759,0.096568871,0.072727273,0
1.04697E-4,8.254830537,0.053046785,0.094181999,0.072727273,0
1.07084E-4,8.508436816,0.05422295,0.091795127,0.072727273,0
1.10415E-4,8.759136429,0.055861717,0.089507708,0.090909091,0
1.15085E-4,9.007531993,0.058153988,0.087319741,0.090909091,0
1.19938E-4,9.254940822,0.060530575,0.085231228,0.090909091,0
1.24324E-4,9.51090366,0.062673669,0.083142715,0.090909091,0
1.28852E-4,9.750211128,0.064880456,0.081253108,0.090909091,0
1.32515E-4,10.011128507,0.066661979,0.079264048,0.090909091,0
1.36352E-4,10.253776303,0.068524596,0.077473894,0.090909091,0
1.41016E-4,10.503466383,0.070783421,0.075683739,0.090909091,0
1.45246E-4,10.760864276,0.072827465,0.073893585,0.090909091,0
