Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.31831E-10,0.000000013,0.000000069,1,0,0
1.53901E-10,0.000000029,0.000000081,0.999900418,0,0
3.23219E-10,0.000000128,0.000000169,0.999502091,0,0
3.7007E-10,0.000000267,0.000000194,0.999103764,0,0
6.5013E-10,0.000001015,0.00000034,0.997510456,0,0
1.02319E-9,0.000002541,0.000000535,0.995717984,0,0
1.7927E-9,0.000010053,0.000000938,0.99034057,0,0
3.04627E-9,0.000025117,0.000001594,0.984166501,0,0
4.29687E-9,0.00005036,0.000002248,0.977195778,0,0
6.29563E-9,0.000100063,0.000003294,0.967835093,0,0
1.06236E-8,0.00025083,0.000005559,0.950507867,0,0
1.53652E-8,0.000501099,0.00000804,0.931487751,0,0
2.17325E-8,0.001001253,0.000011372,0.904501095,0,0
3.94596E-8,0.002502342,0.000020648,0.853913563,0,0
7.36818E-8,0.005002798,0.000038554,0.807508464,0,0
1.54475E-7,0.010001214,0.000080828,0.761501693,0,0
3.8672E-7,0.025021583,0.000202335,0.702250548,0,0
7.24064E-7,0.050071099,0.000378804,0.656741685,0,0
1.19064E-6,0.100060986,0.000622825,0.60376419,0,0
2.14766E-6,0.200123411,0.00112316,0.542123083,0,0
2.94922E-6,0.300144206,0.001542029,0.502887871,0,0
3.60869E-6,0.400297664,0.001886512,0.472316272,0,0
4.13885E-6,0.500364828,0.00216336,0.446524597,0,0
4.67902E-6,0.600128111,0.002445361,0.423919538,0,0
5.22259E-6,0.700104771,0.002729056,0.403804023,0,0
5.50414E-6,0.750513437,0.002875967,0.394443338,0,0
5.75859E-6,0.800100194,0.003008722,0.385680143,0,0
6.26658E-6,0.900129043,0.003273697,0.36904999,0,0
6.83941E-6,1.000248712,0.003572411,0.353813981,0,0
7.33789E-6,1.100068027,0.003832282,0.339872535,0,0
7.84055E-6,1.200583309,0.004094261,0.326727743,0,0
8.30455E-6,1.300668774,0.004336034,0.314379606,0,0
8.88813E-6,1.4000693,0.004640026,0.302828122,0,0
9.54309E-6,1.500431767,0.004981097,0.29197371,0,0
1.12134E-5,1.75109227,0.005850358,0.267775344,0,0
1.33165E-5,2.00130003,0.006943784,0.247460665,0,0
1.67438E-5,2.251487229,0.008723157,0.230830512,0,0
1.98752E-5,2.500191587,0.010346063,0.217287393,0,0
2.27989E-5,2.752052449,0.011858959,0.205536746,0.023809524,0
2.65053E-5,3.001721428,0.013773513,0.195478988,0.023809524,0
2.98239E-5,3.250575574,0.015484583,0.186616212,0.023809524,0
